Township Name,Sale date,Street,Type,Tenure,Storey,Bedrooms,Land area,Built-up,Price,Price PSF
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",03/02/2023,JALAN PERMAS 12/11,Terrace House - intermediate,Freehold,2,-,"1,647 sq. ft.",-,"RM 618,000",RM 375
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",30/01/2023,PERMAS 5/15,Terrace House - intermediate,Freehold,1,-,"1,300 sq. ft.",-,"RM 200,000",RM 154
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",19/01/2023,JALAN PERMAS 3/7,Terrace House - intermediate,Freehold,2,-,"1,647 sq. ft.",-,"RM 570,000",RM 346
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",19/01/2023,JALAN PERMAS 8/11,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 550,000",RM 422
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",03/03/2023,JALAN MAYA 1/3,Cluster House,Freehold,2,-,"2,239 sq. ft.",-,"RM 1,100,000",RM 491
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",22/02/2023,JALAN GITA 2/5,Terrace House - end lot,Freehold,2,-,"2,454 sq. ft.",-,"RM 920,000",RM 375
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",22/02/2023,JALAN MAYA 1,Cluster House,Freehold,2,-,"2,239 sq. ft.",-,"RM 920,000",RM 411
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",17/02/2023,JALAN GITA 1/6,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 780,000",RM 507
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",13/02/2023,JALAN PINGGIRAN 2/1,Semi D,Freehold,2,-,"2,626 sq. ft.",-,"RM 1,400,000",RM 533
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",07/02/2023,JALAN RIMBA 1/2,Terrace House - corner lot,Freehold,2,-,"3,057 sq. ft.",-,"RM 1,350,000",RM 442
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",06/02/2023,JALAN ANJUNG 2/1,Bungalow,Freehold,2,-,"12,275 sq. ft.",-,"RM 3,499,998",RM 285
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",31/01/2023,JALAN PINGGIRAN 3/1,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 800,000",RM 520
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",13/01/2023,JALAN MAYA 1/5,Semi D,Freehold,3,-,"3,423 sq. ft.",-,"RM 1,680,000",RM 491
"HORIZON HILLS, Iskandar Puteri (Nusajaya), Johor",09/01/2023,JALAN ANJUNG 5,Terrace House - end lot,Freehold,2,-,"3,853 sq. ft.",-,"RM 1,300,000",RM 337
"TAMAN SETIA INDAH, Tebrau, Johor",13/03/2023,JALAN SETIA 5/13,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 580,000",RM 415
"TAMAN SETIA INDAH, Tebrau, Johor",13/03/2023,JALAN SETIA 1/6,Terrace House - intermediate,Freehold,2,-,"1,173 sq. ft.",-,"RM 495,000",RM 422
"TAMAN SETIA INDAH, Tebrau, Johor",03/03/2023,JALAN SETIA 1/10,Terrace House - corner lot,Freehold,2,-,"2,476 sq. ft.",-,"RM 628,000",RM 254
"TAMAN SETIA INDAH, Tebrau, Johor",24/02/2023,JALAN SETIA 1/10,Terrace House - intermediate,Freehold,2,-,"1,173 sq. ft.",-,"RM 450,000",RM 384
"TAMAN SETIA INDAH, Tebrau, Johor",20/02/2023,JALAN SETIA 12/15,Terrace House - intermediate,Freehold,1,-,"1,300 sq. ft.",-,"RM 485,000",RM 373
"TAMAN SETIA INDAH, Tebrau, Johor",20/02/2023,JALAN SETIA 10/8,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 680,000",RM 442
"TAMAN SETIA INDAH, Tebrau, Johor",10/02/2023,JALAN SETIA 6/4,Terrace House - intermediate,Freehold,1,-,"1,399 sq. ft.",-,"RM 455,000",RM 325
"TAMAN SETIA INDAH, Tebrau, Johor",10/02/2023,JALAN SETIA 11/4,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 618,000",RM 402
"TAMAN SETIA INDAH, Tebrau, Johor",31/01/2023,JALAN SETIA 10/7,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 640,000",RM 457
"TAMAN SETIA INDAH, Tebrau, Johor",16/01/2023,JALAN SETIA 2/13,Terrace House - intermediate,Freehold,2,-,"1,173 sq. ft.",-,"RM 498,000",RM 425
"TAMAN UNIVERSITI, Skudai, Johor",07/03/2023,JALAN KEMULIAAN 38,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 310,000",RM 238
"TAMAN UNIVERSITI, Skudai, Johor",01/03/2023,JALAN PERTANIAN 45,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 380,000",RM 292
"TAMAN UNIVERSITI, Skudai, Johor",27/02/2023,JALAN PERTANIAN 52,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 400,000",RM 307
"TAMAN UNIVERSITI, Skudai, Johor",26/02/2023,JALAN PENYIARAN 6,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 550,000",RM 422
"TAMAN UNIVERSITI, Skudai, Johor",20/02/2023,JALAN KEBUDAYAAN 26,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 580,000",RM 445
"TAMAN UNIVERSITI, Skudai, Johor",14/02/2023,JALAN PENYIARAN 5,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 460,000",RM 353
"TAMAN UNIVERSITI, Skudai, Johor",12/02/2023,JALAN PENYIARAN 30,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 370,000",RM 284
"TAMAN UNIVERSITI, Skudai, Johor",03/02/2023,JALAN KEJAYAAN 12,Terrace House - end lot,Freehold,1,-,"1,044 sq. ft.",-,"RM 190,000",RM 182
"TAMAN UNIVERSITI, Skudai, Johor",19/01/2023,JALAN PERTANIAN 45,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 160,000",RM 123
"TAMAN UNIVERSITI, Skudai, Johor",16/01/2023,JALAN KEBANGSAAN 29,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 500,000",RM 384
"BANDAR KINRARA, Bandar Kinrara, Selangor",17/02/2023,JALAN BK 8C/2,Semi D,Freehold,2,-,"3,197 sq. ft.",-,"RM 2,380,000",RM 744
"BANDAR KINRARA, Bandar Kinrara, Selangor",09/02/2023,JALAN BK 5B/1,Semi D,Freehold,2,-,"3,319 sq. ft.",-,"RM 1,730,000",RM 521
"BANDAR KINRARA, Bandar Kinrara, Selangor",07/02/2023,JALAN BK 4/3,Terrace House - end lot,Freehold,2,-,"2,239 sq. ft.",-,"RM 1,100,000",RM 491
"BANDAR KINRARA, Bandar Kinrara, Selangor",07/02/2023,JALAN BK 6E/4,Terrace House - intermediate,Freehold,2,-,"1,690 sq. ft.",-,"RM 1,190,000",RM 704
"BANDAR KINRARA, Bandar Kinrara, Selangor",02/02/2023,JALAN BK 5/14A,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 728,000",RM 520
"BANDAR KINRARA, Bandar Kinrara, Selangor",01/02/2023,JALAN BK 4/6B,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 730,000",RM 474
"BANDAR KINRARA, Bandar Kinrara, Selangor",27/01/2023,JALAN BK 2/9,Terrace House - intermediate,Freehold,1,-,"1,400 sq. ft.",-,"RM 488,000",RM 349
"BANDAR KINRARA, Bandar Kinrara, Selangor",26/01/2023,JALAN BK 9/5J,Terrace House - intermediate,Freehold,2.5,-,"1,647 sq. ft.",-,"RM 1,450,000",RM 880
"BANDAR KINRARA, Bandar Kinrara, Selangor",26/01/2023,JALAN BK 2/13,Terrace House - intermediate,Freehold,2,-,"1,400 sq. ft.",-,"RM 723,000",RM 516
"BANDAR KINRARA, Bandar Kinrara, Selangor",18/01/2023,JALAN BK 5/11 (FASA 4C11),Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 700,000",RM 500
"BANDAR BARU SERI ALAM, Masai, Johor",14/02/2023,JALAN GUNUNG 36,Terrace House - corner lot,Freehold,1,-,"3,380 sq. ft.",-,"RM 250,000",RM 74
"BANDAR BARU SERI ALAM, Masai, Johor",02/02/2023,JALAN TASEK 10,Terrace House - end lot,Freehold,2,-,"1,320 sq. ft.",-,"RM 160,000",RM 121
"BANDAR BARU SERI ALAM, Masai, Johor",31/01/2023,JALAN GUNUNG 36,Terrace House - corner lot,Freehold,1,-,"3,369 sq. ft.",-,"RM 500,000",RM 148
"BANDAR BARU SERI ALAM, Masai, Johor",30/01/2023,JALAN BAYU 34,Terrace House - intermediate,Freehold,2,-,"1,195 sq. ft.",-,"RM 450,000",RM 377
"BANDAR BARU SERI ALAM, Masai, Johor",30/01/2023,JALAN ALAM SITRIN 4,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 556,000",RM 427
"BANDAR BARU SERI ALAM, Masai, Johor",29/01/2023,JALAN TASEK MAYA 11,Terrace House - end lot,Freehold,2,-,"1,206 sq. ft.",-,"RM 550,000",RM 456
